"id","name","create_time"
"1003","杏园无敌F4","2021-09-22 08:45:23"
"1638089590690","信息安全","2023-03-15 08:45:23"
"1638089590691","软件开发","2023-02-22 12:30:45"
"1638089590692","软件测试","2023-01-10 18:15:37"
"1638089590693","园林规划","2023-04-05 09:20:12"
"1638089590694","数据科学","2023-02-08 14:55:28"
"1638089590695","人工智能","2023-01-27 21:10:59"
"1638089590696","网络安全","2023-03-01 07:33:44"
"1638089590697","智能系统","2023-04-18 16:02:36"
"1638089590698","电子商务","2023-01-15 10:48:51"
"1638089590699","物联网技术","2023-02-25 13:25:17"
"1638089590700","大数据分析","2023-03-08 19:17:04"
"1638089590701","虚拟现实","2023-04-12 23:55:29"
"1638089590702","人机交互","2023-02-01 06:40:18"
"1638089590703","云计算","2023-03-20 17:14:08"
"1638089590704","生物医学工程","2023-04-02 11:09:53"
"1638089590705","城市规划","2023-01-19 08:27:32"
"1638089590706","环境设计","2023-02-12 14:02:46"
"1638089590707","建筑工程管理","2023-03-28 21:40:21"
"1638089590708","机械设计","2023-01-05 06:18:37"
"1638089590709","材料科学","2023-02-18 09:53:11"
"1638089590710","化学工艺","2023-04-09 12:31:05"
"1638089590711","生态学","2023-01-24 18:22:39"
"1638089590712","心理学","2023-03-13 23:12:58"
"1638089590713","社会学","2023-02-04 08:05:27"
"1638089590714","经济学","2023-03-25 14:37:49"
"1638089590715","管理学","2023-04-15 19:59:02"
"1638089590716","法学","2023-01-08 12:45:34"
"1638089590717","教育学","2023-02-28 15:30:19"
"1638089590718","医学","2023-04-20 07:22:07"
"1638089590719","护理学","2023-01-13 23:47:52"
"1638089590720","艺术设计","2023-03-05 10:16:43"
